feature,group_a,group_b,mannwhitney_u,p_value,mean_a,mean_b,mean_difference_a_minus_b,higher_mean_group,p_value_fdr,significant_fdr_0_05
stylo_avg_word_length,Claude,Mistral,30757.5,1.3498202773859802e-20,6.069700310594547,5.362520311215768,0.7071799993787788,Claude,1.3498202773859802e-20,True
stylo_avg_word_length,Claude,Gemini,27221.5,4.2171410677092774e-10,6.069700310594547,5.667839694712586,0.40186061588196065,Claude,4.2171410677092774e-10,True
stylo_avg_word_length,GPT,Gemini,13340.0,8.406196339520263e-09,5.334332760212426,5.667839694712586,-0.3335069345001598,Gemini,8.406196339520263e-09,True
stylo_avg_word_length,Gemini,Mistral,25894.5,3.4327937160647737e-07,5.667839694712586,5.362520311215768,0.3053193834968182,Gemini,3.4327937160647737e-07,True
stylo_avg_word_length,DeepSeek,GPT,14366.0,1.1009594241671394e-06,5.087137589537868,5.334332760212426,-0.24719517067455854,GPT,1.1009594241671394e-06,True
stylo_avg_word_length,DeepSeek,Mistral,14658.0,3.835284541282498e-06,5.087137589537868,5.362520311215768,-0.2753827216779001,Mistral,3.835284541282498e-06,True
stylo_avg_word_length,GPT,Mistral,19850.0,0.8971128612703446,5.334332760212426,5.362520311215768,-0.028187551003341582,Mistral,0.8971128612703446,False
stylo_comma_count,Claude,Gemini,3350.0,3.543409843944065e-47,12.945,20.355,-7.41,Gemini,3.543409843944065e-47,True
stylo_comma_count,Claude,DeepSeek,6119.5,2.384733766443646e-33,12.945,18.23,-5.285,DeepSeek,2.384733766443646e-33,True
stylo_comma_count,Gemini,Mistral,31874.0,7.5593883382473705e-25,20.355,15.68,4.675000000000001,Gemini,7.5593883382473705e-25,True
stylo_comma_count,Claude,GPT,9984.5,3.741682693581371e-18,12.945,16.435,-3.4899999999999984,GPT,3.741682693581371e-18,True
stylo_comma_count,GPT,Gemini,10245.0,2.747751864202402e-17,16.435,20.355,-3.9200000000000017,Gemini,2.747751864202402e-17,True
stylo_comma_count,Claude,Mistral,11547.0,2.1864572796947928e-13,12.945,15.68,-2.7349999999999994,Mistral,2.1864572796947928e-13,True
stylo_comma_count,DeepSeek,Mistral,27412.5,1.2731721095295124e-10,18.23,15.68,2.5500000000000007,DeepSeek,1.2731721095295124e-10,True
stylo_comma_count,DeepSeek,Gemini,14359.5,9.980061119428816e-07,18.23,20.355,-2.125,Gemini,9.980061119428816e-07,True
stylo_comma_count,DeepSeek,GPT,24891.5,2.2096106030332612e-05,18.23,16.435,1.7950000000000017,DeepSeek,2.2096106030332612e-05,True
stylo_comma_count,GPT,Mistral,22477.0,0.03162103058654643,16.435,15.68,0.754999999999999,GPT,0.03162103058654643,True
stylo_function_word_ratio,Claude,GPT,5577.5,1.0311787142212945e-35,0.2672375083549493,0.3457979823880001,-0.07856047403305078,GPT,1.0311787142212945e-35,True
stylo_function_word_ratio,Claude,DeepSeek,6248.0,1.2589139146468435e-32,0.2672375083549493,0.3433867387126452,-0.07614923035769589,DeepSeek,1.2589139146468435e-32,True
stylo_function_word_ratio,Claude,Mistral,10543.5,2.86321488892425e-16,0.2672375083549493,0.31708081428426604,-0.04984330592931674,Mistral,2.86321488892425e-16,True
stylo_function_word_ratio,Claude,Gemini,10925.0,4.193053240659632e-15,0.2672375083549493,0.309345661272069,-0.04210815291711967,Gemini,4.193053240659632e-15,True
